id,title,url,content
0,Распространенные ошибки среди начинающих трейдеров,https://www.okx.com/ru/learn/common-pitfalls-to-avoid-as-a-beginner-trader,"Начинающим трейдерам стоит знать о самых распространенных ошибках новичков. Чтобы их избежать, важно хорошо понимать рынок и его сопутствующие риски.
В этой статье мы рассмотрим некоторые из наиболее частых ошибок начинающих трейдеров и расскажем, как их избежать.
Пренебрежение исследованием
Перед инвестированием в любую криптовалюту необходимо провести ее тщательный анализ. Анализ включает изучение whitepaper, базовой технологии монеты, а также команды и сообщества, стоящих за проектом.
Следует понимать, что рынок волатилен и зависит от множества факторов, включая новости и рыночные настроения. При проведении исследования важно учитывать, что инфлюенсерам (создателям контента) часто платят за продвижение криптовалют, поэтому воспринимайте их советы с долей скептицизма. Обязательно проведите собственное исследование и принимайте решение об инвестировании только на основе собственного анализа рынка.
Проведение исследований поможет принимать более взвешенные решения и повысит эффективность риск-менеджмента.
Отсутствие стратегий управления рисками
У начинающих трейдеров часто отсутствует хорошая стратегия управления рисками. К их числу относятся:
Установка ордеров «стоп-лосс»
Ордера «стоп-лосс» — это указание продать криптовалюту при достижении определенной цены. Это позволяет ограничить потенциальные убытки в случае внезапного падения цены.
Диверсификация портфеля
Диверсификация предполагает инвестирование в различные криптовалюты вместо концентрации средств в одном активе. Эта стратегия помогает снизить влияние волатильности и распределить торговые риски.
Фиксирование прибыли
Иногда это называют «планом выхода». При росте цены криптовалюты трейдеры могут получить доход, продав часть своих активов, чтобы зафиксировать прибыль и снизить эффект от возможных убытков в случае внезапного падения стоимости базовых активов.
Правильное определение размера позиции
Размер позиции — это сумма средств сделки. Он зависит от уровня допустимого риска и возможных рисков в конкретной сделке.
Лишние эмоции и страх упущенной выгоды (FOMO)
Эмоции могут затуманить рассудок и привести к принятию импульсивных и рискованных решений.
Страх упущенной выгоды (FOMO) приводит к необдуманным решениям и убыткам. Сохраняйте терпение и инвестируйте только те средства, которые можете потерять. Помните, что для успешной торговли необходим долгосрочный план, а не быстрая прибыль.
Выводы
Начинающим трейдерам необходимо знать о распространенных ошибках, которые могут привести к убыткам. Долгосрочный успех зависит от проведения тщательных исследований, применения стратегий управления рисками и избегания эмоциональных решений.
Терпение, дисциплина, готовность учиться и адаптироваться — вот залог успеха на криптовалютном рынке. Хороший трейдер всегда хорошо информирован и дисциплинирован.
Отказ от ответственности:
ДАННАЯ СТАТЬЯ ПРЕДОСТАВЛЯЕТСЯ ИСКЛЮЧИТЕЛЬНО В ИНФОРМАЦИОННЫХ ЦЕЛЯХ И НЕ ЯВЛЯЕТСЯ ИНВЕСТИЦИОННОЙ, НАЛОГОВОЙ ИЛИ ЮРИДИЧЕСКОЙ КОНСУЛЬТАЦИЕЙ, А ТАКЖЕ ПРЕДЛОЖЕНИЕМ О ПОКУПКЕ, ПРОДАЖЕ ИЛИ ВЛАДЕНИИ ЦИФРОВЫМИ АКТИВАМИ. ЦИФРОВЫЕ АКТИВЫ, ВКЛЮЧАЯ СТЕЙБЛКОИНЫ, СОПРЯЖЕНЫ С ВЫСОКИМИ РИСКАМИ И ПОДВЕРЖЕНЫ СИЛЬНЫМ КОЛЕБАНИЯМ ВПЛОТЬ ДО ПОЛНОГО ОБЕСЦЕНИВАНИЯ. ПЕРЕД ИНВЕСТИРОВАНИЕМ ТЩАТЕЛЬНО ОБДУМАЙТЕ, ПОДХОДИТ ЛИ ВАМ ТОРГОВЛЯ ИЛИ ВЛАДЕНИЕ ЦИФРОВЫМИ АКТИВАМИ С УЧЕТОМ ВАШЕГО ФИНАНСОВОГО ПОЛОЖЕНИЯ. ЗА ПОДРОБНОЙ КОНСУЛЬТАЦИЕЙ ОБРАТИТЕСЬ К СПЕЦИАЛИСТУ ПО ЮРИДИЧЕСКИМ/НАЛОГОВЫМ/ИНВЕСТИЦИОННЫМ ВОПРОСАМ.
Дисклеймер
Материалы предоставлены исключительно в ознакомительных целях и могут включать информацию о продуктах, которые недоступны в вашем регионе. Они не являются инвестиционным советом или рекомендацией, предложением или приглашением к покупке, продаже или удержанию криптовалюты / цифровых активов, советом в финансовой, бухгалтерской, юридической или налоговой сфере. Криптовалютные и цифровые активы, в том числе стейблкоины, сопряжены с высокими рисками и подвержены сильным ценовым колебаниям. Тщательно оцените финансовое состояние и определите, подходит ли вам торговля и удерживание цифровых активов. По вопросам, связанным с вашими конкретными обстоятельствами, обращайтесь к специалистам в области законодательства, налогов или инвестиций. Информация, представленная на этой странице (включая рыночные и статистические данные, если таковые имеются), предназначена исключительно для ознакомления. При подготовке статьи были приняты все меры предосторожности, однако автор не несет ответственности за фактические ошибки и упущения.
© OKX, 2025. Эту статью можно копировать и распространять как полностью, так и в цитатах объемом не более 100 слов, при условии некоммерческого использования.  При любом копировании или распространении всей статьи должно быть указано: «Разрешение на использование получено от владельца авторских прав на эту статью — © OKX, 2025.  Цитаты должны содержать ссылку на название статьи и ее автора, например: «Название статьи, [имя автора, если указано], © OKX, 2025». Часть контента может быть создана с использованием инструментов искусственного интеллекта (ИИ). Создание производных материалов и любое другое использование данной статьи не допускается.
Развернуть"
1,Как настроить сигнального бота ОКХ с помощью TradingView,https://www.okx.com/ru/learn/how-to-set-up-signal-bot-with-tradingview,"Тестирование сигнальной торговли в демо-режиме
Сигнальная торговля теперь доступна в демо-режиме на ОКХ. Это идеальная возможность тестирования и настройки сигналов без финансовых обязательств. Узнать, как включить демо-торговлю, можно
здесь
.
Получите доступ к безграничным возможностям сигнальной торговли на ОКХ с помощью сигналов TradingView
В стремительно развивающемся мире криптовалют крайне важно иметь преимущество над другими трейдерами. Именно поэтому OKX представила сигнальную торговлю — революционную функцию, которая позволяет пользователям TradingView и поставщикам сигналов легко настраивать свои сигнальные боты.
Ниже представлено пошаговое руководство по сигнальной торговле на ОКХ.
Шаг 1. Начало торговли
Войдите в ваш аккаунт ОКХ и нажмите Торговать > Торговые боты > Маркетплейс. Затем откройте вкладку «Сигнальные боты» и нажмите «Создать».
Шаг 2. Создание сигнала
Нажмите «Добавить пользовательский сигнал», чтобы создать ваш сигнал. Сигналу можно присвоить название и описание до 500 символов (необязательно). После этого нажмите «Создать сигнал».
Шаг 3. Настройка сигнала
Настройка сигнала на TradingView не займет много времени. После создания сигнала OKX автоматически сгенерирует URL веб-хука и спецификацию оповещений (AlertMsg Specification). Используйте их для настройки отправки сигнала на TradingView.
После нажатия кнопки «Создать сигнал» откроется страница ввода URL-адреса вебхука и спецификации оповещений. Эти данные автоматически генерируются OKX. Этот шаг имеет решающее значение для настройки отправки сигнала на TradingView.
Шаг 3.1. Настройка отправки сигнала на TradingView
Откройте TradingView и выберите торговую пару, которой хотите торговать по сигналу.
Нажмите «Индикаторы» и выберите сигнал в «Мои скрипты». Для новичков мы подготовили шаблонный код PineScript для MACD.
Шаг 3.2. Настройка оповещений с помощью URL веб-хука
Способ A:
сообщение Alertcondition(). Настройте скрипт в Pine Editor, нажмите «Сохранить» и «Добавить на график».
Нажмите «Оповещение», измените «Условие» скрипта и вставьте спецификацию оповещений OKX в поле «Сообщение».
Активируйте «веб-хук» в разделе «Уведомления», вставьте URL веб-хука OKX и нажмите «Создать».
Способ Б:
сообщение Alert(). Настройте скрипт в Pine Editor, нажмите «Сохранить» и «Добавить на график».
Нажмите «Индикатор» и настройте токен сигнала и другие параметры (при необходимости).
Нажмите «Оповещение», измените «Условие» на «Любой вызов функции alert()».
Вставьте URL веб-хука из OKX в TradingView.
Торговля с помощью шаблонов скриптов OKX
Если вам нужны шаблоны скриптов, OKX предлагает шаблоны стратегий
RSI
,
MACD с ATR-стопом
и
Turtle Trading Rules (Черепаший трейдинг)
на TradingView.
Шаг 4: Создание сигнального бота
После публикации вашего сигнала на OKX, создайте сигнального бота, нажав «Создать бота».
Установите желаемые параметры, включая торговые пары, коэффициент торгового плеча и сумму инвестиций.
Шаг 5: Управление сигнальным ботом
Поздравляем! Теперь ваш сигнальный бот подключается к выбранному источнику сигналов и совершает сделки в реальном времени. Вы можете полностью контролировать его работу, получать доступ к подробной информации и при необходимости совершать корректировки вручную.
Пошаговое руководство по работе с сигнальными ботами можно найти здесь. В нем объясняется, как «подогнать» различные функции стратегий на TradingView под формат наших оповещений. С помощью этого руководства вы получите все необходимые знания для успешного запуска вашего сигнального бота на OKX.
Спецификации оповещений
Для удобной и простой интеграции TradingView и сигнальной торговли OKX необходимо знать, какие спецификации оповещений поддерживает OKX. Эти спецификации определяют, как сигналы, генерируемые в TradingView, преобразуются в торговые команды на платформе OKX. Полное руководство по спецификациям оповещений сигнального бота можно найти в
этой статье
.
Получите доступ к безграничным возможностям сигнальной торговли на OKX
Благодаря сигнальной торговле на OKX вы можете использовать сигналы TradingView и значительно увеличить эффективность своих торговых сратегий. Неважно, являетесь ли вы опытным трейдером или только начинаете свой путь, cигнальная торговля на OKX даст вам важное конкурентное преимущество на динамичном рынке криптовалют.
Раскройте свой торговый потенциал с сигнальной торговлей на OKX.
Дисклеймер:
ДАННАЯ СТАТЬЯ ПРЕДОСТАВЛЯЕТСЯ ИСКЛЮЧИТЕЛЬНО В ИНФОРМАЦИОННЫХ ЦЕЛЯХ И НЕ ЯВЛЯЕТСЯ ИНВЕСТИЦИОННОЙ, НАЛОГОВОЙ ИЛИ ЮРИДИЧЕСКОЙ КОНСУЛЬТАЦИЕЙ, А ТАКЖЕ ПРЕДЛОЖЕНИЕМ О ПОКУПКЕ, ПРОДАЖЕ ИЛИ ВЛАДЕНИИ ЦИФРОВЫМИ АКТИВАМИ. ЦИФРОВЫЕ АКТИВЫ, ВКЛЮЧАЯ СТЕЙБЛКОИНЫ, СОПРЯЖЕНЫ С ВЫСОКИМИ РИСКАМИ И ПОДВЕРЖЕНЫ СИЛЬНЫМ КОЛЕБАНИЯМ ВПЛОТЬ ДО ПОЛНОГО ОБЕСЦЕНИВАНИЯ. ПЕРЕД ИНВЕСТИРОВАНИЕМ ТЩАТЕЛЬНО ОБДУМАЙТЕ, ПОДХОДИТ ЛИ ВАМ ТОРГОВЛЯ ИЛИ ВЛАДЕНИЕ ЦИФРОВЫМИ АКТИВАМИ С УЧЕТОМ ВАШЕГО ФИНАНСОВОГО ПОЛОЖЕНИЯ. ЗА ПОДРОБНОЙ КОНСУЛЬТАЦИЕЙ ОБРАТИТЕСЬ К СПЕЦИАЛИСТУ ПО ЮРИДИЧЕСКИМ/НАЛОГОВЫМ/ИНВЕСТИЦИОННЫМ ВОПРОСАМ.
Дисклеймер
Материалы предоставлены исключительно в ознакомительных целях и могут включать информацию о продуктах, которые недоступны в вашем регионе. Они не являются инвестиционным советом или рекомендацией, предложением или приглашением к покупке, продаже или удержанию криптовалюты / цифровых активов, советом в финансовой, бухгалтерской, юридической или налоговой сфере. Криптовалютные и цифровые активы, в том числе стейблкоины, сопряжены с высокими рисками и подвержены сильным ценовым колебаниям. Тщательно оцените финансовое состояние и определите, подходит ли вам торговля и удерживание цифровых активов. По вопросам, связанным с вашими конкретными обстоятельствами, обращайтесь к специалистам в области законодательства, налогов или инвестиций. Информация, представленная на этой странице (включая рыночные и статистические данные, если таковые имеются), предназначена исключительно для ознакомления. При подготовке статьи были приняты все меры предосторожности, однако автор не несет ответственности за фактические ошибки и упущения.
© OKX, 2025. Эту статью можно копировать и распространять как полностью, так и в цитатах объемом не более 100 слов, при условии некоммерческого использования.  При любом копировании или распространении всей статьи должно быть указано: «Разрешение на использование получено от владельца авторских прав на эту статью — © OKX, 2025.  Цитаты должны содержать ссылку на название статьи и ее автора, например: «Название статьи, [имя автора, если указано], © OKX, 2025». Часть контента может быть создана с использованием инструментов искусственного интеллекта (ИИ). Создание производных материалов и любое другое использование данной статьи не допускается.
Развернуть"
2,Как пользоваться торговыми ботами ОКХ,https://www.okx.com/ru/learn/trading-bot,"Помимо множества торговых пар,
проектов децентрализованных финансов
и возможностей
заработка криптовалюты
, мы предлагаем
настраиваемых торговых ботов
, которые помогут автоматизировать ваши трейдинг-стратегии. В этом руководстве мы расскажем:
Как использовать торговых ботов OKX
Какие виды торговых ботов доступны на OKX
Что такое спотовый grid-бот
Что такое фьючерсный grid-бот
Что такое спотовый бот DCA (Мартингейл)
Что такое бот смарт-портфеля
Что такое бот регулярных покупок
Что такое арбитражный бот
Что такое айсберг-бот
Что такое бот ордеров со средневзвешенной по времени ценой (TWAP)
Как отключить торгового бота и закрыть сделку
Начать
Запуск торгового бота OKX
Шаг 1
Войдите в свой аккаунт на главной странице OKX, нажав
Войти
в правом верхнем углу экрана. Введите адрес электронной почты/номер телефона и пароль, а затем нажмите
Войти
. Также войти можно, отсканировав QR-код в
приложении OKX
.
Шаг 2
Пройдите двухфакторную аутентификацию и нажмите
Продолжить
.
Шаг 3
Откройте раздел
Торговать
на главной странице OKX и нажмите
Торговый бот
.
Шаг 4
На странице торговых ботов находятся инструменты и автоматические стратегии, такие как grid-боты, DCA-боты, арбитражные боты, разделяющие боты и сигнальная торговля, которые позволяют настроить собственные параметры или копировать другие.
Какие виды торговых ботов доступны на OKX
Биржа OKX поддерживает следующие виды торговых ботов с индивидуальными стратегиями:
Спотовый grid-бот
Фьючерсный grid-бот
Фьючерсный DCA-бот (Мартингейл)
Смарт-арбитраж
Спотовый DCA-бот (Мартингейл)
Повторяющаяся покупка
Сигнальный бот
Айсберг-ордера
TWAP-ордера (средневзвешенная по времени цена)
Смарт-портфель
Арбитраж
Самые простые в использовании боты — это спотовый grid-бот, фьючерсный grid-бот, смарт-портфель и повторяющаяся покупка. Боты со смарт-арбитражем, айсберг-ордерами и TWAP-ордерами подходят для пользователей, которые предпочитают более сложный профиль риска.
Что такое cпотовый grid-бот?
Спотовый grid-бот устанавливает уровни цен между выбранным верхним и нижним лимитом. Если цена актива поднимается до одной из линий сетки, бот автоматически продает актив. Если цена падает до линии сетки, бот автоматически покупает.
Параметры сетки можно настроить вручную для полного контроля или использовать стратегию ИИ, которая опирается на прошлые движения цен и данные тестирования для увеличения шансов на прибыль.
Благодаря динамическому механизму размещения ордеров, подсказкам в интерфейсе и отображению логических ордеров серым цветом с пояснениями теперь можно устанавливать до
1000 сеток
вместо прежних 300 — все это при сохранении простого и эффективного интерфейса.
Кроме того, благодаря
интеграции с Простым Earn
, неиспользуемые средства за пределами активного торгового диапазона могут автоматически генерировать доход и возвращаться в стратегию бота при изменении рынка. Все средства, включая начисленные проценты, будут возвращены на ваш аккаунт после остановки бота.
Узнайте, как использовать спотового grid-бота,
по ссылке
.
Что такое фьючерсный grid-бот?
Фьючерсный grid-бот работает аналогично спотовому grid-боту, но вместо покупки и продажи активов он торгует фьючерсными контрактами в лонг или шорт. Он использует сетку для размещения ордеров на покупку и продажу выше и ниже текущей цены, реагируя на движения рынка.
Фьючерсный grid-бот предлагает три торговые стратегии:
Лонг
Шорт
Нейтральные
Ключевое отличие фьючерсного grid-бота заключается в возможности торговать с плечом, которое увеличивает как прибыль, так и риск. Перед использованием этого бота убедитесь, что полностью понимаете риски, связанные с торговлей с плечом.
С помощью новой функции изменения параметров можно в любое время скорректировать диапазон и количество сеток grid-бота, не останавливая его. Вносимые изменения автоматически отключают настройки трейлинга, сохраняют начальные условия запуск/остановки, по умолчанию реинвестируют PnL и запрашивают пополнение котируемых активов при необходимости — это позволяет легче адаптироваться к рынку, поддерживая стратегию.
Узнайте больше о фьючерсном grid-боте
по ссылке
.
Что такое спотовый бот DCA (Мартингейл)?
Спотовый DCA-бот (Мартингейл) покупает активы через заданные промежутки времени, распределяя покупки между разными ценовыми уровнями. Трейдеры могут использовать стратегию усреднения долларовой стоимости (DCA) для покупки активов по низким ценам и продажи активов при достижении цели тейк-профита или высокой цены.
Спотовый DCA-бот (Мартингейл) предлагает больше возможностей, чем самостоятельное выполнение стратегии DCA. Пользователи могут выбирать, когда открывать сделку, с помощью технических индикаторов. Для этого нужно просто зарезервировать минимальное количество средств для запуска (начальный ордер + первый страховочный ордер). Позднее можно добавить дополнительные средства по мере необходимости.
Благодаря функции под названием «непрерывные торговые циклы» торговый бот может продолжать работать, покупая активы во время падения и продавая активы во время отскоков, а также открывая новые торговые циклы после достижения цели тейк-профита.
Узнайте, как использовать спотового DCA-бота (Мартингейл),
по ссылке
.
Что такое сигнальный бот?
Этот бот открывает доступ ко множеству торговых сигналов. Он позволяет создавать и настраивать собственные сигналы, а также повторять сигналы ведущих трейдеров. Расширяйте возможности своих торговых стратегий и будьте на шаг впереди с помощью комплексной платформы сигнальной торговли.
Продвинутые торговые сигналы
Интеграция с TradingView
Исполнение сделок в реальном времени
Узнайте, как использовать сигнального бота,
по ссылке
.
Что такое торговый бот смарт-портфеля?
Смарт-портфель — это функция торгового бота по автоматической балансировке портфеля. Эта стратегия позволяет настраивать и поддерживать определённое процентное соотношение активов в смарт-портфеле. Если в результате волатильности доля актива в портфеле повысится, то бот автоматически продаст его и купит активы, которых в портфеле недостаёт.
Бот поддерживает два триггера ребалансировки. В режиме расписания бот проверяет долю каждого актива через заданные промежутки времени. В случае превышения заданной доли актив продаётся, и полученные средства идут на покупку недостающих активов.
В пропорциональном режиме бот ребалансирует портфель только если достигается указанный процент дисбаланса. Предположим, смарт-портфель настроен на ребалансировку при дисбалансе от 5%, а доля активов в нём настроена следующим образом — 25% ETH, 25% SOL и 50% BTC. Если цена BTC вырастет относительно ETH и SOL, заняв 80% или более от всего портфеля, то бот продаст BTC и купит больше ETH и SOL.
У бота смарт-портфеля есть множество различных параметров. В дополнение к двум триггерам ребалансировки трейдеры могут включать в портфель до 10 криптовалют с индивидуальным процентом для каждой.
Что такое бот повторяющихся покупок?
Бот повторяющихся покупок приобретает до 20 различных криптовалют через равные промежутки времени, усредняя цену покупки. Он использует баланс USDT для автоматической покупки криптовалюты через выбранные интервалы.
Усреднение долларовой стоимости (DCA) — это простая и эффективная стратегия для долгосрочных инвесторов, а бот повторяющихся покупок делает ее еще удобнее. Просто укажите настройки, и все остальное сделает бот.
Узнайте, как использовать торгового бота повторяющихся покупок,
по ссылке
.
Что такое арбитражный торговый бот?
Арбитражный торговый бот упрощает фиксацию прибыли при расхождении в ценах между различными торговыми инструментами OKX. Он создаёт так называемые «дельта-нейтральные» позиции. Если одна позиция убыточна, то другая часть сделки извлечёт прибыль, которая покроет сумму убытков. Трейдер получает прибыль от разницы в ценах между инструментами или в размере платежей по ставке финансирования.
Арбитражный бот работает в двух режимах:
Ставка финансирования
. В этом режиме на спотовом рынке открывается лонг- или шорт-позиция в любой поддерживаемой криптовалюте. Одновременно с этим бот открывает противоположную позицию по этому же активу с бессрочным свопом. Обе эти позиции становятся дельта-нейтральными. Таким образом, любые платежи по ставке финансирования, полученные от трейдера на другой стороне бессрочного свопа, становятся прибылью.
Арбитраж спреда
. Этот режим позволяет получать прибыль от разницы в ценах фьючерсных контрактов с разными датами расчётов или фьючерсными и спотовыми ценами. Когда бот открывает дельта-нейтральные позиции с одним и тем же базовым активом при помощи двух инструментов с разной ценой, разница в дату расчётов становится прибылью.
Хотя арбитражный бот позволяет легко настраивать прибыльные вилки между различными инструментами, эта стратегия сложнее, чем упомянутые выше. Она связана с определёнными рисками, особенно при создании пользовательских арбитражных портфелей. Таким образом, этот бот больше подходит для опытных трейдеров.
Узнайте,
как использовать торгового арбитражного бота
.
Что такое айсберг-ордера?
Айсберг-ордера — это крупные покупки или продажи, разбитые на несколько мелких ордеров. Они особенно эффективны при совершении крупной (относительно объёма рынка) сделки. Даже небольшой ордер может изменить цену актива на неликвидных рынках, что приведёт к менее благоприятному входу или выходу. Айсберг-ордера пытаются замаскировать крупные ордера и ограничить влияние проскальзывания цены. Для размещения айсберг-ордера нажмите кнопку
Айсберг
в меню
Разделяющие боты
.
Выберите желаемый продукт и торговую пару через меню в верхнем левом углу раздела айсберг-ордеров. Айсберг-ордера можно использовать на спотовых, бессрочных, фьючерсных, маржинальных и опционных рынках. Если вы ещё не торговали фьючерсами или бессрочными свопами, то прежде чем использовать арбитражного бота, изучите руководства OKX по каждому из этих продуктов. Это поможет вам понять риски, связанные с торговлей фьючерсами или бессрочными свопами.
Затем выберите допустимую величину проскальзывания (на какую сумму может измениться цена при исполнении сделки) в рамках ценового диапазона. Это можно сделать через увеличение объёмов базового актива торговой пары в параметре
Ценовая разница
или посредством процента от цены ордера используя параметр
Коэффициент
.
Узнайте,
как использовать торгового бота айсберг-ордеров
.
Что такое бот средневзвешенной по времени цены (TWAP)?
Режим TWAP (средневзвешенная по времени цена) помогает совершать крупные сделки в течение определённого периода времени. Он похож на айсберг-ордер, так как тоже стремится войти или выйти с рынка с большой позицией без значительного изменения цены актива. Для использования этого торгового бота выберите
TWAP
в меню
Разделяющие боты
.
TWAP-ордера позволяют покупать или продавать первый актив в торговой паре и указывать допустимое проскальзывание цены. В параметре
Ценовая разница
указывается сумма во втором активе торговой пары. С помощью параметра
Коэффициент
можно настраивать проскальзывание на основе процентного отклонения от ценового лимита.
Узнайте, как использовать TWAP-бота,
по ссылке
.
Как отключить торгового бота и закрыть сделку?
Шаг 1
Сделки торгового бота доступны во вкладке
Боты
на торговой панели. В этом разделе вы увидите подробную информацию о сделках, включая их прибыльность на текущий момент. Здесь же можно вручную отключить бота.
Шаг 2
Для отключения торгового бота нажмите
Стоп
рядом с соответствующей сделкой.
Шаг 3
После отключения бота позицию можно оставить на рынке или закрыть в USDT. Выберите подходящий вариант и нажмите
Подтвердить
.
После этого сделка исчезнет из раздела
Боты
и появится в
Истории
.
Начать
При любых проблемах с использованием торгового бота обращайтесь в нашу службу поддержки по адресу:
support@okx.com
или через официальный
Центр поддержки
. Подписывайтесь на наш
Telegram-канал
, чтобы быть в курсе последних новостей и обновлений!
ДИСКЛЕЙМЕР
ДАННАЯ СТАТЬЯ ПРЕДОСТАВЛЕНА ИСКЛЮЧИТЕЛЬНО В ИНФОРМАЦИОННЫХ ЦЕЛЯХ. ОНА НЕ ЯВЛЯЕТСЯ КАКОЙ-ЛИБО ИНВЕСТИЦИОННОЙ, НАЛОГОВОЙ ИЛИ ЮРИДИЧЕСКОЙ КОНСУЛЬТАЦИЕЙ И НЕ ДОЛЖНА РАССМАТРИВАТЬСЯ КАК ПРЕДЛОЖЕНИЕ О ПОКУПКЕ, ПРОДАЖЕ ИЛИ ВЛАДЕНИИ ЦИФРОВЫМИ АКТИВАМИ. ЦИФРОВЫЕ АКТИВЫ, ВКЛЮЧАЯ СТЕЙБЛКОИНЫ, СОПРЯЖЕНЫ С ВЫСОКИМИ РИСКАМИ И ПОДВЕРЖЕНЫ СИЛЬНЫМ КОЛЕБАНИЯМ ВПЛОТЬ ДО ПОЛНОГО ОБЕСЦЕНИВАНИЯ. НЕОБХОДИМО ТЩАТЕЛЬНО ОБДУМАТЬ, ПОДХОДИТ ЛИ ВАМ ТОРГОВЛЯ ИЛИ ВЛАДЕНИЕ ЦИФРОВЫМИ АКТИВАМИ С УЧЁТОМ ВАШЕГО ФИНАНСОВОГО СОСТОЯНИЯ. ЗА ПОДРОБНОЙ КОНСУЛЬТАЦИЕЙ ОБРАЩАЙТЕСЬ К СПЕЦИАЛИСТУ ПО ЮРИДИЧЕСКОЙ/НАЛОГОВОЙ/ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ.
Дисклеймер
Материалы предоставлены исключительно в ознакомительных целях и могут включать информацию о продуктах, которые недоступны в вашем регионе. Они не являются инвестиционным советом или рекомендацией, предложением или приглашением к покупке, продаже или удержанию криптовалюты / цифровых активов, советом в финансовой, бухгалтерской, юридической или налоговой сфере. Криптовалютные и цифровые активы, в том числе стейблкоины, сопряжены с высокими рисками и подвержены сильным ценовым колебаниям. Тщательно оцените финансовое состояние и определите, подходит ли вам торговля и удерживание цифровых активов. По вопросам, связанным с вашими конкретными обстоятельствами, обращайтесь к специалистам в области законодательства, налогов или инвестиций. Информация, представленная на этой странице (включая рыночные и статистические данные, если таковые имеются), предназначена исключительно для ознакомления. При подготовке статьи были приняты все меры предосторожности, однако автор не несет ответственности за фактические ошибки и упущения.
© OKX, 2025. Эту статью можно копировать и распространять как полностью, так и в цитатах объемом не более 100 слов, при условии некоммерческого использования.  При любом копировании или распространении всей статьи должно быть указано: «Разрешение на использование получено от владельца авторских прав на эту статью — © OKX, 2025.  Цитаты должны содержать ссылку на название статьи и ее автора, например: «Название статьи, [имя автора, если указано], © OKX, 2025». Часть контента может быть создана с использованием инструментов искусственного интеллекта (ИИ). Создание производных материалов и любое другое использование данной статьи не допускается.
Развернуть"
